segment_id	marker	intended_text	asr_text	similarity	wer	duration_sec	status	audio_path	qc_result	backend_status	note
hook-c01	hook	Hey guys.	Hey guys.	1.0000	0.0000	1.280	ready	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/hook-c01/take-01-clean.wav	pass	ok	
hook-c02	hook	I had this idea for a bullet hell that's based off of Realm of the Mad God, Legends of Yore, Morrowind, and a bunch of old-school games, but I want to modernize it a bit.	I had this idea for a bullet hell that's based off of Realm of the Mad God, Legends of Your Morrowind and a bunch of old school games but I want to modernize it a bit.	0.9939	0.0278	11.200	ready	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/hook-c02/take-01-clean.wav	pass	ok	
hook-c03	hook	It’s just me working on this alone with no real plan. Honestly, uh...	It's just me working on this alone with no real plan, honestly.	0.9600	0.2143	5.120	ready	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/hook-c03/take-01-clean.wav	pass	ok	
hook-c04	hook	I’m just gonna keep building and see how far I can push it before the tech debt starts fighting back.	I'm just gonna keep building and see how far I can push it before the tech dead starts fighting back	0.9700	0.1429	5.600	ready	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/hook-c04/take-01-clean.wav	pass	ok	
hook-c05	hook	This is devlog one, I guess.	This is devlog 1, I guess	0.9200	0.1667	2.720	ready	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/hook-c05/take-01-clean.wav	pass	ok	
marker-4-intro-c01	Marker 4	So, basically, it’s a 2D open-world thing. Dungeons, crafting, traps...	So basically, it's a 2D open world thing. Dungeons crafting traps.	0.9841	0.1667	7.566	ready	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-4-intro-c01/take-01-clean.wav	pass	ok	
marker-4-intro-c02	Marker 4	all that. I’ve, uh, I’ve wanted to build this specific loop for a long time, so I’m finally just...	All that, I've wanted to build this specific loop for a long time, so I'm finally just	0.9318	0.3182	8.800	ready	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-4-intro-c02/take-01-clean.wav	pass	ok	
marker-4-intro-c03	Marker 4	I'm just building it. I think I'm calling it *Eternal Conquests* for now.	I'm just building it, I think I'm calling it eternal conquests for now.	1.0000	0.0000	4.720	ready	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-4-intro-c03/take-01-clean.wav	pass	ok	
marker-4-intro-c04	Marker 4	We'll see if that, uh... if that sticks.	We will see if that sticks.	0.7541	0.6250	3.600	ready	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-4-intro-c04/take-01-clean.wav	fail	ok	
marker-5-physics-c01	Marker 5	I, uh... I spent way too long on the physics.	I spent way too long on the physics.	0.9333	0.2000	3.600	ready	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-5-physics-c01/take-01-clean.wav	pass	ok	
