id	marker	title	chunk_index	style	text	synthesis_text
hook-c01	hook	Hook	1	performative	Hey guys.	Hey guys.
hook-c02	hook	Hook	2	grounded	I had this idea for a bullet hell that's based off of Realm of the Mad God, Legends of Yore, Morrowind, and a bunch of old-school games, but I want to modernize it a bit.	I had this idea for a bullet hell that's based off of Realm of the Mad God, Legends of Yor, Morrowind, and a bunch of old-school games, but I want to modernize it a bit.
hook-c03	hook	Hook	3	grounded	It’s just me working on this alone with no real plan. Honestly, uh...	It’s just me working on this alone with no real plan. Honestly, uh...
hook-c04	hook	Hook	4	grounded	I’m just gonna keep building and see how far I can push it before the tech debt starts fighting back.	I’m just gonna keep building and see how far I can push it before the tech debt starts fighting back.
hook-c05	hook	Hook	5	grounded	This is devlog one, I guess.	This is devlog one, I guess.
marker-4-intro-c01	Marker 4	Intro	1	laidback	So, basically, it’s a 2D open-world thing. Dungeons, crafting, traps...	So, basically, it’s a two D open-world thing. Dungeons, crafting, traps...
marker-4-intro-c02	Marker 4	Intro	2	laidback	all that. I’ve, uh, I’ve wanted to build this specific loop for a long time, so I’m finally just...	all that. I’ve, uh, I’ve wanted to build this specific loop for a long time, so I’m finally just...
marker-4-intro-c03	Marker 4	Intro	3	laidback	I'm just building it. I think I'm calling it *Eternal Conquests* for now.	I'm just building it. I think I'm calling it *Eternal Conquests* for now.
marker-4-intro-c04	Marker 4	Intro	4	laidback	We'll see if that, uh... if that sticks.	We'll see if that, uh... if that sticks.
marker-5-physics-c01	Marker 5	Physics	1	grounded	I, uh... I spent way too long on the physics.	I, uh... I spent way too long on the physics.
marker-5-physics-c02	Marker 5	Physics	2	grounded	Like, way too long. I ended up with, uh, four weight classes—light to super heavy.	Like, way too long. I ended up with, uh, four weight classes—light to super heavy.
marker-5-physics-c03	Marker 5	Physics	3	grounded	It’s on the minions and the bosses too, so it isn't just a, you know, a floaty bullet hell. You actually feel the...	It’s on the minions and the bosses too, so it isn't just a, you know, a floaty bullet hell. You actually feel the...
marker-5-physics-c04	Marker 5	Physics	4	grounded	the momentum when you move.	the momentum when you move.
marker-6-vfx-c01	Marker 6	VFX	1	grounded	I, uh, I added these trailing dash lines here. I think they, um... they look okay, actually.	I, uh, I added these trailing dash lines here. I think they, um... they look okay, actually.
marker-10-the-dungeon-c01	Marker 10	The Dungeon	1	grounded	So, this is the main dungeon loop. Traps, corridors...	So, this is the main dungeon loop. Traps, corridors...
marker-10-the-dungeon-c02	Marker 10	The Dungeon	2	grounded	some bloodstains and skulls for the, uh, for the atmosphere. You know, the good stuff.	some bloodstains and skulls for the, uh, for the atmosphere. You know, the good stuff.
marker-14-lighting-c01	Marker 14	Lighting	1	grounded	The, uh... the dynamic lighting.	The, uh... the dynamic lighting.
marker-14-lighting-c02	Marker 14	Lighting	2	grounded	That’s probably what I’m happiest with, honestly. I, um...	That’s probably what I’m happiest with, honestly. I, um...
marker-14-lighting-c03	Marker 14	Lighting	3	grounded	I made it dark on purpose.	I made it dark on purpose.
marker-14-lighting-c04	Marker 14	Lighting	4	grounded	"I might do, uh, ""inverse"" lighting later—kind of like that *Samurai Jack* shinobi scene where everything is white?"	"I might do, uh, ""inverse"" lighting later—kind of like that *Samurai Jack* shinobi scene where everything is white?"
marker-14-lighting-c05	Marker 14	Lighting	5	grounded	Could be interesting.	Could be interesting.
marker-11-treasure-c01	Marker 11	Treasure	1	laidback	Treasure room. Just, uh... just health pots and some rare drops in here for now.	Treasure room. Just, uh... just health pots and some rare drops in here for now.
marker-12-testing-c01	Marker 12	Testing	1	laidback	I’ve, uh... I’ve cleared this place like five times already with this character.	I’ve, uh... I’ve cleared this place like five times already with this character.
marker-12-testing-c02	Marker 12	Testing	2	laidback	So, yeah... they’re pretty overpowered at this point.	So, yeah... they’re pretty overpowered at this point.
marker-13-procedural-gen-c01	Marker 13	Procedural Gen	1	grounded	The, um... the proc-gen.	The, um... the proc-gen.
marker-13-procedural-gen-c02	Marker 13	Procedural Gen	2	grounded	It uses specific corridor and room logic. I didn't want a random, uh, a random mess of boxes.	It uses specific corridor and room logic. I didn't want a random, uh, a random mess of boxes.
marker-13-procedural-gen-c03	Marker 13	Procedural Gen	3	grounded	I wanted it to feel like an actual maze you have to, you know, actually navigate.	I wanted it to feel like an actual maze you have to, you know, actually navigate.
marker-15-length-c01	Marker 15	Length	1	grounded	Wait, this... this actually goes on for a while.	Wait, this... this actually goes on for a while.
marker-15-length-c02	Marker 15	Length	2	grounded	I should probably, uh... I should probably make the corridors shorter.	I should probably, uh... I should probably make the corridors shorter.
marker-15-length-c03	Marker 15	Length	3	grounded	Or just, you know, dial back the room count.	Or just, you know, dial back the room count.
