segment_id	marker	original_text	synthesis_text	matched_terms	expected_replacements	asr_text	result	note
hook-c01	hook	Hey guys.	Hey guys.			Hey guys.	n/a	
hook-c02	hook	I had this idea for a bullet hell that's based off of Realm of the Mad God, Legends of Yore, Morrowind, and a bunch of old-school games, but I want to modernize it a bit.	I had this idea for a bullet hell that's based off of Realm of the Mad God, Legends of Yore, Morrowind, and a bunch of old-school games, but I want to modernize it a bit.	Morrowind, Legends of Yore	Morrowind | Legends of Yore	I had this idea for a bullet hell that's based off of Realm of the Mad God, Legends of Your Morrowind and a bunch of old school games but I want to modernize it a bit.	warn	replacement_not_heard_cleanly:Legends of Yore
hook-c03	hook	It’s just me working on this alone with no real plan. Honestly, uh...	It’s just me working on this alone with no real plan. Honestly, uh...			It's just me working on this alone with no real plan, honestly.	n/a	
hook-c04	hook	I’m just gonna keep building and see how far I can push it before the tech debt starts fighting back.	I’m just gonna keep building and see how far I can push it before the tech debt starts fighting back.			I'm just gonna keep building and see how far I can push it before the tech dead starts fighting back	n/a	
hook-c05	hook	This is devlog one, I guess.	This is devlog one, I guess.			This is devlog 1, I guess	n/a	
marker-4-intro-c01	Marker 4	So, basically, it’s a 2D open-world thing. Dungeons, crafting, traps...	So, basically, it’s a two D open-world thing. Dungeons, crafting, traps...	2D	two D	So basically, it's a 2D open world thing. Dungeons crafting traps.	warn	replacement_not_heard_cleanly:2D
marker-4-intro-c02	Marker 4	all that. I’ve, uh, I’ve wanted to build this specific loop for a long time, so I’m finally just...	all that. I’ve, uh, I’ve wanted to build this specific loop for a long time, so I’m finally just...			All that, I've wanted to build this specific loop for a long time, so I'm finally just	n/a	
marker-4-intro-c03	Marker 4	I'm just building it. I think I'm calling it *Eternal Conquests* for now.	I'm just building it. I think I'm calling it *Eternal Conquests* for now.			I'm just building it, I think I'm calling it eternal conquests for now.	n/a	
marker-4-intro-c04	Marker 4	We'll see if that, uh... if that sticks.	We'll see if that, uh... if that sticks.			We will see if that sticks.	n/a	
marker-5-physics-c01	Marker 5	I, uh... I spent way too long on the physics.	I, uh... I spent way too long on the physics.			I spent way too long on the physics.	n/a	
marker-5-physics-c02	Marker 5	Like, way too long. I ended up with, uh, four weight classes—light to super heavy.	Like, way too long. I ended up with, uh, four weight classes—light to super heavy.			Like way too long, I ended up with four weight classes, light to super heavy.	n/a	
marker-5-physics-c03	Marker 5	It’s on the minions and the bosses too, so it isn't just a, you know, a floaty bullet hell. You actually feel the...	It’s on the minions and the bosses too, so it isn't just a, you know, a floaty bullet hell. You actually feel the...			it's on the minions and the bosses too so it isn't just a you know a floaty bullet hell you actually feel the	n/a	
marker-5-physics-c04	Marker 5	the momentum when you move.	the momentum when you move.			The momentum when you move	n/a	
marker-6-vfx-c01	Marker 6	I, uh, I added these trailing dash lines here. I think they, um... they look okay, actually.	I, uh, I added these trailing dash lines here. I think they, um... they look okay, actually.			I added these trailing dash lines here I think they look okay actually	n/a	
marker-10-the-dungeon-c01	Marker 10	So, this is the main dungeon loop. Traps, corridors...	So, this is the main dungeon loop. Traps, corridors...			So this is the main dungeon loop, traps, corridors	n/a	
marker-10-the-dungeon-c02	Marker 10	some bloodstains and skulls for the, uh, for the atmosphere. You know, the good stuff.	some bloodstains and skulls for the, uh, for the atmosphere. You know, the good stuff.			Some bloodstains and skulls for the atmosphere, you know, the good stuff.	n/a	
marker-14-lighting-c01	Marker 14	The, uh... the dynamic lighting.	The, uh... the dynamic lighting.			the dynamic lighting	n/a	
marker-14-lighting-c02	Marker 14	That’s probably what I’m happiest with, honestly. I, um...	That’s probably what I’m happiest with, honestly. I, um...			That's probably what I'm happiest with, honestly, I umm...	n/a	
marker-14-lighting-c03	Marker 14	I made it dark on purpose.	I made it dark on purpose.			I made it dark on purpose	n/a	
marker-14-lighting-c04	Marker 14	"I might do, uh, ""inverse"" lighting later—kind of like that *Samurai Jack* shinobi scene where everything is white?"	"I might do, uh, ""inverse"" lighting later—kind of like that *Samurai Jack* shinobi scene where everything is white?"			I might do inverse lighting later, kind of like that Samurai Jack Shinobi scene where everything is white.	n/a	
marker-14-lighting-c05	Marker 14	Could be interesting.	Could be interesting.			Could be interesting.	n/a	
marker-11-treasure-c01	Marker 11	Treasure room. Just, uh... just health pots and some rare drops in here for now.	Treasure room. Just, uh... just health pots and some rare drops in here for now.			Treasure room just just health pots and some rare drops in here for now	n/a	
marker-12-testing-c01	Marker 12	I’ve, uh... I’ve cleared this place like five times already with this character.	I’ve, uh... I’ve cleared this place like five times already with this character.			I've cleared this place like 5 times already with this character	n/a	
marker-12-testing-c02	Marker 12	So, yeah... they’re pretty overpowered at this point.	So, yeah... they’re pretty overpowered at this point.			So yeah, they're pretty overpowered at this point.	n/a	
marker-13-procedural-gen-c01	Marker 13	The, um... the proc-gen.	The, um... the proc-gen.			The, um, the proc gen	n/a	
marker-13-procedural-gen-c02	Marker 13	It uses specific corridor and room logic. I didn't want a random, uh, a random mess of boxes.	It uses specific corridor and room logic. I didn't want a random, uh, a random mess of boxes.			It uses specific corridor and room logic. I didn't want a random mess of boxes.	n/a	
marker-13-procedural-gen-c03	Marker 13	I wanted it to feel like an actual maze you have to, you know, actually navigate.	I wanted it to feel like an actual maze you have to, you know, actually navigate.			I wanted it to feel like an actual maze, you have to, you know, actually navigate.	n/a	
marker-15-length-c01	Marker 15	Wait, this... this actually goes on for a while.	Wait, this... this actually goes on for a while.			Wait this, this actually goes on for a while	n/a	
