action	segment_id	marker	qc	status	approval	text	audio_path	notes
#	Codes	A approve | B baseline_approved | R reject | T retry | W rewrite | M manual_edit | blank keep current						
	hook-c01	hook	pass	ready	baseline_approved	Hey guys.	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/hook-c01/take-01-clean.wav	
	hook-c02	hook	pass	ready	baseline_approved	I had this idea for a bullet hell that's based off of Realm of the Mad God, Legends of Yore, Morrowind, and a bunch of old-school games, but I want to modernize it a bit.	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/hook-c02/take-01-clean.wav	
	hook-c03	hook	pass	ready	baseline_approved	It’s just me working on this alone with no real plan. Honestly, uh...	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/hook-c03/take-01-clean.wav	
	hook-c04	hook	pass	ready	baseline_approved	I’m just gonna keep building and see how far I can push it before the tech debt starts fighting back.	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/hook-c04/take-01-clean.wav	
	hook-c05	hook	pass	ready	baseline_approved	This is devlog one, I guess.	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/hook-c05/take-01-clean.wav	
	marker-4-intro-c01	Marker 4	pass	ready	baseline_approved	So, basically, it’s a 2D open-world thing. Dungeons, crafting, traps...	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-4-intro-c01/take-01-clean.wav	
	marker-4-intro-c02	Marker 4	pass	ready	baseline_approved	all that. I’ve, uh, I’ve wanted to build this specific loop for a long time, so I’m finally just...	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-4-intro-c02/take-01-clean.wav	
	marker-4-intro-c03	Marker 4	pass	ready	baseline_approved	I'm just building it. I think I'm calling it *Eternal Conquests* for now.	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-4-intro-c03/take-01-clean.wav	
	marker-4-intro-c04	Marker 4	fail	ready	needs_retry	We'll see if that, uh... if that sticks.	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-4-intro-c04/take-01-clean.wav	
	marker-5-physics-c01	Marker 5	pass	ready	baseline_approved	I, uh... I spent way too long on the physics.	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-5-physics-c01/take-01-clean.wav	
	marker-5-physics-c02	Marker 5	pass	ready	baseline_approved	Like, way too long. I ended up with, uh, four weight classes—light to super heavy.	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-5-physics-c02/take-01-clean.wav	
	marker-5-physics-c03	Marker 5	pass	ready	baseline_approved	It’s on the minions and the bosses too, so it isn't just a, you know, a floaty bullet hell. You actually feel the...	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-5-physics-c03/take-01-clean.wav	
	marker-5-physics-c04	Marker 5	pass	ready	baseline_approved	the momentum when you move.	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-5-physics-c04/take-01-clean.wav	
	marker-6-vfx-c01	Marker 6	warn	ready	needs_manual_edit	I, uh, I added these trailing dash lines here. I think they, um... they look okay, actually.	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-6-vfx-c01/take-01-clean.wav	
	marker-10-the-dungeon-c01	Marker 10	pass	ready	baseline_approved	So, this is the main dungeon loop. Traps, corridors...	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-10-the-dungeon-c01/take-01-clean.wav	
	marker-10-the-dungeon-c02	Marker 10	pass	ready	baseline_approved	some bloodstains and skulls for the, uh, for the atmosphere. You know, the good stuff.	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-10-the-dungeon-c02/take-01-clean.wav	
	marker-14-lighting-c01	Marker 14	warn	ready	needs_manual_edit	The, uh... the dynamic lighting.	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-14-lighting-c01/take-01-clean.wav	
	marker-14-lighting-c02	Marker 14	pass	ready	baseline_approved	That’s probably what I’m happiest with, honestly. I, um...	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-14-lighting-c02/take-01-clean.wav	
	marker-14-lighting-c03	Marker 14	pass	ready	baseline_approved	I made it dark on purpose.	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-14-lighting-c03/take-01-clean.wav	
	marker-14-lighting-c04	Marker 14	pass	ready	baseline_approved	"I might do, uh, ""inverse"" lighting later—kind of like that *Samurai Jack* shinobi scene where everything is white?"	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-14-lighting-c04/take-01-clean.wav	
	marker-14-lighting-c05	Marker 14	pass	ready	baseline_approved	Could be interesting.	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-14-lighting-c05/take-01-clean.wav	
	marker-11-treasure-c01	Marker 11	pass	ready	baseline_approved	Treasure room. Just, uh... just health pots and some rare drops in here for now.	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-11-treasure-c01/take-01-clean.wav	
