id	marker	title	chunk_index	style	text
hook-c01	hook	Hook	1	performative	Hey guys. I had this idea for a bullet hell that's based off of Realm of the Mad God, Legends of Yore, Morrowind, and a bunch of old-school games, but I want to modernize it a bit. It’s just me working on this alone with no real plan. Honestly, uh... I’m just gonna keep building and see how far I can push it before the tech debt starts fighting back. This is devlog one, I guess.
marker-4-intro-c01	Marker 4	Intro	1	laidback	So, basically, it’s a 2D open-world thing. Dungeons, crafting, traps... all that. I’ve, uh, I’ve wanted to build this specific loop for a long time, so I’m finally just... I'm just building it. I think I'm calling it *Eternal Conquests* for now. We'll see if that, uh... if that sticks.
marker-5-physics-c01	Marker 5	Physics	1	grounded	I, uh... I spent way too long on the physics. Like, way too long. I ended up with, uh, four weight classes—light to super heavy. It’s on the minions and the bosses too, so it isn't just a, you know, a floaty bullet hell. You actually feel the... the momentum when you move.
marker-6-vfx-c01	Marker 6	VFX	1	grounded	I, uh, I added these trailing dash lines here. I think they, um... they look okay, actually.
marker-10-the-dungeon-c01	Marker 10	The Dungeon	1	grounded	So, this is the main dungeon loop. Traps, corridors... some bloodstains and skulls for the, uh, for the atmosphere. You know, the good stuff.
marker-14-lighting-c01	Marker 14	Lighting	1	grounded	"The, uh... the dynamic lighting. That’s probably what I’m happiest with, honestly. I, um... I made it dark on purpose. I might do, uh, ""inverse"" lighting later—kind of like that *Samurai Jack* shinobi scene where everything is white? Could be interesting."
marker-11-treasure-c01	Marker 11	Treasure	1	laidback	Treasure room. Just, uh... just health pots and some rare drops in here for now.
marker-12-testing-c01	Marker 12	Testing	1	laidback	I’ve, uh... I’ve cleared this place like five times already with this character. So, yeah... they’re pretty overpowered at this point.
marker-13-procedural-gen-c01	Marker 13	Procedural Gen	1	grounded	The, um... the proc-gen. It uses specific corridor and room logic. I didn't want a random, uh, a random mess of boxes. I wanted it to feel like an actual maze you have to, you know, actually navigate.
marker-15-length-c01	Marker 15	Length	1	grounded	Wait, this... this actually goes on for a while. I should probably, uh... I should probably make the corridors shorter. Or just, you know, dial back the room count.
marker-16-elites-c01	Marker 16	Elites	1	grounded	So, these are elite enemies. Basically mini-bosses. They have, uh... they have better gear drops and more aggressive movement. Nothing too crazy yet, though.
marker-17-balancing-c01	Marker 17	Balancing	1	sarcastic	Wait, look at this—this guy's just, uh... he's spamming way too many bombs. I definitely need to, um... I need to fix that.
marker-18-stats-armor-c01	Marker 18	Stats & Armor	1	grounded	The traps... they’re supposed to deal pure damage and just, uh, ignore armor. I have this Vitality stat for the, uh, for the HP regen, but it’s... honestly, it's completely broken right now. Way too overpowered. Like, seriously.
marker-19-rare-rooms-c01	Marker 19	Rare Rooms	1	grounded	Rare decorated room. These, uh... they spawn enemies that are basically bosses. But they’re rare, so, um... probably won't see one here.
marker-20-progression-c01	Marker 20	Progression	1	grounded	The floors... they just keep descending until you hit the boss. I might, uh... I might add an infinite mode later that just, you know, loops forever.
marker-21-hallways-c01	Marker 21	Hallways	1	grounded	I, uh... I put enemies in the corridors to patrol the halls. I’m thinking about a, um... a sneaking system, too. So you don't always have to just, you know, shoot your way through everything.
marker-22-inventory-stats-c01	Marker 22	Inventory & Stats	1	grounded	Inventory is still—actually, wait, there’s an enchanting system in here. It technically shouldn't even be in this build yet, but, uh... whatever. On the right is where you, um... where you apply points to Agility or Power.
marker-23-items-movesets-c01	Marker 23	Items & Movesets	1	grounded	The, uh... the gear actually changes your moveset on Shift and Spacebar. Like, the shortbow lets you kite with a, uh, a triple shot that pushes you back... but the longsword lets you just, you know, dash in and shove enemies.
marker-26-the-boss-c01	Marker 26	The Boss	1	grounded	And, uh... here’s the boss. This is where I've been using Claude Code and some custom codex scripts to get the fractal bullet patterns working. The idea was to have this, um, mathematically beautiful chaos... but right now he just kind of panics and shoots in random directions. I genuinely don’t know why. So, yeah. Work in progress.
marker-28-height-system-c01	Marker 28	Height System	1	grounded	Top-down games... they always feel so flat. Everything's the same level. So I’m using, uh... I'm using shaders and art to give the world actual elevation. I’ll use this for, you know, fortified hills where you’re fighting uphill against archers.
marker-29-outro-c01	Marker 29	Outro	1	laidback	So, yeah. That’s pretty much it, I guess. A lot of bugs still, and the loop isn't... well, it isn't fully tight yet. But the bones are good. Anyway, um... if you’re into this, subscribe. It actually helps. Catch you in the next one.
