segment_id	take	decision	note	updated_at	audio_path
hook-c01	take-01	baseline_approved	baseline approved for comparison	2026-05-12T21:19:11.996929+00:00	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/hook-c01/take-01-clean.wav
hook-c02	take-01	baseline_approved	baseline approved for comparison	2026-05-12T21:19:11.997187+00:00	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/hook-c02/take-01-clean.wav
hook-c03	take-01	baseline_approved	baseline approved for comparison	2026-05-12T21:19:11.997193+00:00	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/hook-c03/take-01-clean.wav
hook-c04	take-01	baseline_approved	baseline approved for comparison	2026-05-12T21:19:11.997198+00:00	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/hook-c04/take-01-clean.wav
hook-c05	take-01	baseline_approved	baseline approved for comparison	2026-05-12T21:19:11.997202+00:00	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/hook-c05/take-01-clean.wav
marker-10-the-dungeon-c01	take-01	baseline_approved	baseline approved for comparison	2026-05-12T21:19:11.997239+00:00	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-10-the-dungeon-c01/take-01-clean.wav
marker-10-the-dungeon-c02	take-01	baseline_approved	baseline approved for comparison	2026-05-12T21:19:11.997243+00:00	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-10-the-dungeon-c02/take-01-clean.wav
marker-11-treasure-c01	take-01	baseline_approved	baseline approved for comparison	2026-05-12T21:19:11.997264+00:00	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-11-treasure-c01/take-01-clean.wav
marker-12-testing-c01	take-01	needs_manual_edit	qc_warn: similarity=0.8921 wer=0.4000	2026-05-12T23:22:04.895739+00:00	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-12-testing-c01/take-01-clean.wav
marker-12-testing-c02	take-01	baseline_approved	baseline approved for comparison	2026-05-12T21:19:11.997271+00:00	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-12-testing-c02/take-01-clean.wav
marker-13-procedural-gen-c01	take-01	baseline_approved	baseline approved for comparison	2026-05-12T21:19:11.997275+00:00	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-13-procedural-gen-c01/take-01-clean.wav
marker-13-procedural-gen-c02	take-01	baseline_approved	baseline approved for comparison	2026-05-12T21:19:11.997279+00:00	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-13-procedural-gen-c02/take-01-clean.wav
marker-13-procedural-gen-c03	take-01	baseline_approved	baseline approved for comparison	2026-05-12T21:19:11.997282+00:00	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-13-procedural-gen-c03/take-01-clean.wav
marker-14-lighting-c01	take-01	needs_manual_edit	qc_warn: similarity=0.8511 wer=0.4000	2026-05-12T23:22:04.895731+00:00	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-14-lighting-c01/take-01-clean.wav
marker-14-lighting-c02	take-01	baseline_approved	baseline approved for comparison	2026-05-12T21:19:11.997250+00:00	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-14-lighting-c02/take-01-clean.wav
marker-14-lighting-c03	take-01	baseline_approved	baseline approved for comparison	2026-05-12T21:19:11.997253+00:00	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-14-lighting-c03/take-01-clean.wav
marker-14-lighting-c04	take-01	baseline_approved	baseline approved for comparison	2026-05-12T21:19:11.997257+00:00	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-14-lighting-c04/take-01-clean.wav
marker-14-lighting-c05	take-01	baseline_approved	baseline approved for comparison	2026-05-12T21:19:11.997260+00:00	/Users/developer-cloudprimero/ai-audio-lab/outputs/qwen3-reftext-full-v2/marker-14-lighting-c05/take-01-clean.wav
