order	marker	segment_id	text	synthesis_text	audio_path	status	gen_sec	duration_sec	asr_similarity	wer	qc_result	backend_status	approval_decision	notes
1	hook	hook-c01	Hey guys.	Hey guys.	outputs/qwen3-reftext-full-v2/hook-c01/take-01-clean.wav	ready	42.432	1.280	1.0000	0.0000	pass	ok	baseline_approved	baseline approved for comparison
2	hook	hook-c02	I had this idea for a bullet hell that's based off of Realm of the Mad God, Legends of Yore, Morrowind, and a bunch of old-school games, but I want to modernize it a bit.	I had this idea for a bullet hell that's based off of Realm of the Mad God, Legends of Yore, Morrowind, and a bunch of old-school games, but I want to modernize it a bit.	outputs/qwen3-reftext-full-v2/hook-c02/take-01-clean.wav	ready	105.227	11.200	0.9939	0.0278	pass	ok	baseline_approved	baseline approved for comparison
3	hook	hook-c03	It’s just me working on this alone with no real plan. Honestly, uh...	It’s just me working on this alone with no real plan. Honestly, uh...	outputs/qwen3-reftext-full-v2/hook-c03/take-01-clean.wav	ready	63.616	5.120	0.9600	0.2143	pass	ok	baseline_approved	baseline approved for comparison
4	hook	hook-c04	I’m just gonna keep building and see how far I can push it before the tech debt starts fighting back.	I’m just gonna keep building and see how far I can push it before the tech debt starts fighting back.	outputs/qwen3-reftext-full-v2/hook-c04/take-01-clean.wav	ready	64.657	5.600	0.9700	0.1429	pass	ok	baseline_approved	baseline approved for comparison
5	hook	hook-c05	This is devlog one, I guess.	This is devlog one, I guess.	outputs/qwen3-reftext-full-v2/hook-c05/take-01-clean.wav	ready	44.166	2.720	0.9200	0.1667	pass	ok	baseline_approved	baseline approved for comparison
6	Marker 4	marker-4-intro-c01	So, basically, it’s a 2D open-world thing. Dungeons, crafting, traps...	So, basically, it’s a two D open-world thing. Dungeons, crafting, traps...	outputs/qwen3-reftext-full-v2/marker-4-intro-c01/take-01-clean.wav	ready	83.201	7.566	0.9841	0.1667	pass	ok	baseline_approved	baseline approved for comparison
7	Marker 4	marker-4-intro-c02	all that. I’ve, uh, I’ve wanted to build this specific loop for a long time, so I’m finally just...	all that. I’ve, uh, I’ve wanted to build this specific loop for a long time, so I’m finally just...	outputs/qwen3-reftext-full-v2/marker-4-intro-c02/take-01-clean.wav	ready	90.41	8.800	0.9318	0.3182	pass	ok	baseline_approved	baseline approved for comparison
8	Marker 4	marker-4-intro-c03	I'm just building it. I think I'm calling it *Eternal Conquests* for now.	I'm just building it. I think I'm calling it *Eternal Conquests* for now.	outputs/qwen3-reftext-full-v2/marker-4-intro-c03/take-01-clean.wav	ready	60.279	4.720	1.0000	0.0000	pass	ok	baseline_approved	baseline approved for comparison
9	Marker 4	marker-4-intro-c04	We'll see if that, uh... if that sticks.	We'll see if that, uh... if that sticks.	outputs/qwen3-reftext-full-v2/marker-4-intro-c04/take-01-clean.wav	ready	50.467	3.600	0.7541	0.6250	fail	ok	needs_retry	qc_fail: similarity=0.7541 wer=0.6250
10	Marker 5	marker-5-physics-c01	I, uh... I spent way too long on the physics.	I, uh... I spent way too long on the physics.	outputs/qwen3-reftext-full-v2/marker-5-physics-c01/take-01-clean.wav	ready	50.339	3.600	0.9333	0.2000	pass	ok	baseline_approved	baseline approved for comparison
11	Marker 5	marker-5-physics-c02	Like, way too long. I ended up with, uh, four weight classes—light to super heavy.	Like, way too long. I ended up with, uh, four weight classes—light to super heavy.	outputs/qwen3-reftext-full-v2/marker-5-physics-c02/take-01-clean.wav	ready	80.512	7.440	0.9801	0.0625	pass	ok	baseline_approved	baseline approved for comparison
12	Marker 5	marker-5-physics-c03	It’s on the minions and the bosses too, so it isn't just a, you know, a floaty bullet hell. You actually feel the...	It’s on the minions and the bosses too, so it isn't just a, you know, a floaty bullet hell. You actually feel the...	outputs/qwen3-reftext-full-v2/marker-5-physics-c03/take-01-clean.wav	ready	80.192	7.600	0.9908	0.0833	pass	ok	baseline_approved	baseline approved for comparison
13	Marker 5	marker-5-physics-c04	the momentum when you move.	the momentum when you move.	outputs/qwen3-reftext-full-v2/marker-5-physics-c04/take-01-clean.wav	ready	42.496	2.080	1.0000	0.0000	pass	ok	baseline_approved	baseline approved for comparison
14	Marker 6	marker-6-vfx-c01	I, uh, I added these trailing dash lines here. I think they, um... they look okay, actually.	I, uh, I added these trailing dash lines here. I think they, um... they look okay, actually.	outputs/qwen3-reftext-full-v2/marker-6-vfx-c01/take-01-clean.wav	ready	109.735	11.840	0.9150	0.2353	warn	ok	needs_manual_edit	qc_warn: similarity=0.9150 wer=0.2353
15	Marker 10	marker-10-the-dungeon-c01	So, this is the main dungeon loop. Traps, corridors...	So, this is the main dungeon loop. Traps, corridors...	outputs/qwen3-reftext-full-v2/marker-10-the-dungeon-c01/take-01-clean.wav	ready	64.34	4.640	1.0000	0.0000	pass	ok	baseline_approved	baseline approved for comparison
16	Marker 10	marker-10-the-dungeon-c02	some bloodstains and skulls for the, uh, for the atmosphere. You know, the good stuff.	some bloodstains and skulls for the, uh, for the atmosphere. You know, the good stuff.	outputs/qwen3-reftext-full-v2/marker-10-the-dungeon-c02/take-01-clean.wav	ready	66.379	5.440	0.9272	0.2000	pass	ok	baseline_approved	baseline approved for comparison
17	Marker 14	marker-14-lighting-c01	The, uh... the dynamic lighting.	The, uh... the dynamic lighting.	outputs/qwen3-reftext-full-v2/marker-14-lighting-c01/take-01-clean.wav	ready	44.3	2.880	0.8511	0.4000	warn	ok	needs_manual_edit	qc_warn: similarity=0.8511 wer=0.4000
18	Marker 14	marker-14-lighting-c02	That’s probably what I’m happiest with, honestly. I, um...	That’s probably what I’m happiest with, honestly. I, um...	outputs/qwen3-reftext-full-v2/marker-14-lighting-c02/take-01-clean.wav	ready	54.096	4.320	0.9524	0.4545	pass	ok	baseline_approved	baseline approved for comparison
19	Marker 14	marker-14-lighting-c03	I made it dark on purpose.	I made it dark on purpose.	outputs/qwen3-reftext-full-v2/marker-14-lighting-c03/take-01-clean.wav	ready	44.328	2.720	1.0000	0.0000	pass	ok	baseline_approved	baseline approved for comparison
20	Marker 14	marker-14-lighting-c04	"I might do, uh, ""inverse"" lighting later—kind of like that *Samurai Jack* shinobi scene where everything is white?"	"I might do, uh, ""inverse"" lighting later—kind of like that *Samurai Jack* shinobi scene where everything is white?"	outputs/qwen3-reftext-full-v2/marker-14-lighting-c04/take-01-clean.wav	ready	109.514	7.760	0.9858	0.0526	pass	ok	baseline_approved	baseline approved for comparison
21	Marker 14	marker-14-lighting-c05	Could be interesting.	Could be interesting.	outputs/qwen3-reftext-full-v2/marker-14-lighting-c05/take-01-clean.wav	ready	35.163	1.440	1.0000	0.0000	pass	ok	baseline_approved	baseline approved for comparison
22	Marker 11	marker-11-treasure-c01	Treasure room. Just, uh... just health pots and some rare drops in here for now.	Treasure room. Just, uh... just health pots and some rare drops in here for now.	outputs/qwen3-reftext-full-v2/marker-11-treasure-c01/take-01-clean.wav	ready	75.141	6.320	0.9793	0.0667	pass	ok	baseline_approved	baseline approved for comparison
23	Marker 12	marker-12-testing-c01	I’ve, uh... I’ve cleared this place like five times already with this character.	I’ve, uh... I’ve cleared this place like five times already with this character.	outputs/qwen3-reftext-full-v2/marker-12-testing-c01/take-01-clean.wav	ready	59.983	4.960	0.8921	0.4000	warn	ok	needs_manual_edit	qc_warn: similarity=0.8921 wer=0.4000
24	Marker 12	marker-12-testing-c02	So, yeah... they’re pretty overpowered at this point.	So, yeah... they’re pretty overpowered at this point.	outputs/qwen3-reftext-full-v2/marker-12-testing-c02/take-01-clean.wav	ready	45.459	2.880	0.9792	0.2222	pass	ok	baseline_approved	baseline approved for comparison
25	Marker 13	marker-13-procedural-gen-c01	The, um... the proc-gen.	The, um... the proc-gen.	outputs/qwen3-reftext-full-v2/marker-13-procedural-gen-c01/take-01-clean.wav	ready	44.308	2.880	1.0000	0.0000	pass	ok	baseline_approved	baseline approved for comparison
26	Marker 13	marker-13-procedural-gen-c02	It uses specific corridor and room logic. I didn't want a random, uh, a random mess of boxes.	It uses specific corridor and room logic. I didn't want a random, uh, a random mess of boxes.	outputs/qwen3-reftext-full-v2/marker-13-procedural-gen-c02/take-01-clean.wav	ready	77.539	7.200	0.9277	0.1667	pass	ok	baseline_approved	baseline approved for comparison
